"RegNo","Place","State"
"MH22","Parbhani","Maharashtra"
"MH23","Beed","Maharashtra"
"MH24","Latur","Maharashtra"
"MH25","Osmanabad","Maharashtra"
"MH26","Nanded","Maharashtra"
"MH27","Amravati","Maharashtra"
"MH28","Buldana","Maharashtra"
"MH29","Yavatmal  RTO is located on Nagpur Road","Maharashtra"
"MH30","Akola","Maharashtra"
"MH31","Nagpur","Maharashtra"
"MH32","Wardha","Maharashtra"
"MH33","Gadchiroli","Maharashtra"
"MH34","Chandrapur","Maharashtra"
"MH35","Gondia","Maharashtra"
"MH36","Bhandara","Maharashtra"
"MH37","Washim","Maharashtra"
"MH38","Hingoli","Maharashtra"
"MH39","Nandurbar","Maharashtra"
"MH40","Wadi, Nagpur (rural)","Maharashtra"
"MH41","Malegaon","Maharashtra"
"MH42","Baramati","Maharashtra"
"MH43","Navi Mumbai  RTO is located in Vashi (Sanpada)","Maharashtra"
"MH44","Ambejogai","Maharashtra"
"MH45","Akluj","Maharashtra"
"MH46","Panvel","Maharashtra"
"MH47","Borivali, Mumbai (Western Suburbs from Goregaon to Dahisar)[2]","Maharashtra"
"MH48","Vasai Thane (Western Suburbs from Vasai)  RTO is located in Virar","Maharashtra"
"MH49","Nagpur (East)  RTO is located on Bhandara Road","Maharashtra"
"MH50","Karad (Satara Rural)  RTO is located in Karad","Maharashtra"
"ML01","Shillong (government vehicles)","Meghalaya"
"ML02","Shillong (police vehicles)","Meghalaya"
"ML03","Shillong (vehicles owned by transport corporations)","Meghalaya"
"ML04","Jaintia Hills","Meghalaya"
"ML05","East Khasi Hills","Meghalaya"
"ML06","West Khasi Hills","Meghalaya"
"ML07","East Garo Hills","Meghalaya"
"ML08","West Garo Hills","Meghalaya"
"ML09","South Garo Hills","Meghalaya"
"ML10","RiBhoi","Meghalaya"
"MN01","Imphal","Manipur"
"MN02","Churachandpur","Manipur"
"MN03","Kangpokpi","Manipur"
"MN04","Thoubal","Manipur"
"MP01","State Governor's Vehicle","Madhya Pradesh"
"MP02","M.P. Government Vehicle","Madhya Pradesh"
"MP03","M.P. Police Vehicle","Madhya Pradesh"
"MP04","Bhopal","Madhya Pradesh"
"MP05","Hoshangabad","Madhya Pradesh"
"MP06","Morena","Madhya Pradesh"
"MP07","Gwalior","Madhya Pradesh"
"MP08","Guna","Madhya Pradesh"
"MP09","Indore","Madhya Pradesh"
"MP10","Khargone","Madhya Pradesh"
"MP11","Dhar","Madhya Pradesh"
"MP12","Khandwa","Madhya Pradesh"
"MP13","Ujjain","Madhya Pradesh"
"MP14","Mandsaur","Madhya Pradesh"
"MP15","Sagar","Madhya Pradesh"
"MP16","Chhatarpur","Madhya Pradesh"
"MP17","Rewa","Madhya Pradesh"
"MP18","Shahdol","Madhya Pradesh"
"MP19","Satna","Madhya Pradesh"
"MP20","Jabalpur","Madhya Pradesh"
"MP21","Katni","Madhya Pradesh"
"MP22","Seoni","Madhya Pradesh"
"MP23","Raipur (not in use)","Madhya Pradesh"
"MP24","Durg (not in use)","Madhya Pradesh"
"MP25","Jagdalpur (not in use)","Madhya Pradesh"
"MP26","Bilaspur (not in use)","Madhya Pradesh"
"MP27","Ambikapur (not in use)","Madhya Pradesh"
"MP28","Chhindwara","Madhya Pradesh"
"MP29","Rajnandgaon (not in use)","Madhya Pradesh"
"MP30","Bhind","Madhya Pradesh"
"MP31","Sheopur","Madhya Pradesh"
"MP32","Datia","Madhya Pradesh"
"MP33","Shivpuri","Madhya Pradesh"
"MP34","Damoh","Madhya Pradesh"
"MP35","Panna","Madhya Pradesh"
"MP36","Tikamgarh","Madhya Pradesh"
"MP37","Sehore","Madhya Pradesh"
"MP38","Raisen","Madhya Pradesh"
"MP39","Rajgarh","Madhya Pradesh"
"MP40","Vidisha","Madhya Pradesh"
"MP41","Dewas","Madhya Pradesh"
"MP42","Shajapur","Madhya Pradesh"
"MP43","Ratlam","Madhya Pradesh"
"MP44","Neemuch","Madhya Pradesh"
"MP45","Jhabua","Madhya Pradesh"
"MP46","Badwani","Madhya Pradesh"
"MP47","Harda","Madhya Pradesh"
"MP48","Betul","Madhya Pradesh"
"MP49","Narsinghpur","Madhya Pradesh"
"MP50","Balaghat","Madhya Pradesh"
"MP51","Mandla","Madhya Pradesh"
"MP52","Dindori","Madhya Pradesh"
"MP53","Sidhi","Madhya Pradesh"
"MP54","Umariya","Madhya Pradesh"
"MP55","not in use","Madhya Pradesh"
"MP56","not in use","Madhya Pradesh"
"MP57","(not alloted)","Madhya Pradesh"
"MP58","not in use","Madhya Pradesh"
"MP59","(not alloted)","Madhya Pradesh"
"MP60","(not alloted)","Madhya Pradesh"
"MP61","(not alloted)","Madhya Pradesh"
"MP62","(not alloted)","Madhya Pradesh"
"MP63","(not alloted)","Madhya Pradesh"
"MP64","(not alloted)","Madhya Pradesh"
"MP65","Anoopur","Madhya Pradesh"
"MP66","Singrauli","Madhya Pradesh"
"MP67","Ashoknagar","Madhya Pradesh"
"MP68","Burhanpur","Madhya Pradesh"
"MP69","Alirajpur (upcoming)","Madhya Pradesh"
"MZ01","Aizawl","Mizoram"
"MZ02","Lunglei","Mizoram"
"MZ03","Saiha","Mizoram"
"MZ04","Champhai","Mizoram"
"MZ05","Kolasib","Mizoram"
"MZ06","Serchhip","Mizoram"
"MZ07","Lawngtlai","Mizoram"
"MZ08","Mamit","Mizoram"
"NL01","Kohima","Nagaland"
"NL02","Mokokchung","Nagaland"
"NL03","Tuensang","Nagaland"
"NL04","Mon","Nagaland"
"NL05","Wokha","Nagaland"
"NL06","Zunheboto","Nagaland"
"NL07","Dimapur","Nagaland"
"NL08","Phek","Nagaland"
"OR01","Balasore","Orissa"
"OR02","Bhubaneswar","Orissa"
"OR03","Bolangir","Orissa"
"OR04","Chandikhole","Orissa"
"OR05","Cuttack","Orissa"
"OR06","Dhenkanal","Orissa"
"OR07","Ganjam","Orissa"
"OR08","Kalahandi","Orissa"
"OR09","Keonjhar","Orissa"
"OR10","Koraput","Orissa"
"OR11","Mayurbhanj","Orissa"
"OR12","Phulabani","Orissa"
"OR13","Puri","Orissa"
"OR14","Rourkela","Orissa"
"OR15","Sambalpur","Orissa"
"OR16","Sundergarh","Orissa"
"OR17","Baragarh","Orissa"
"OR18","Rayagada","Orissa"
"OR19","Angul","Orissa"
"OR20","Gajapati","Orissa"
"OR21","Jagatsinghpur","Orissa"
"OR22","Bhadrak","Orissa"
"OR23","Jharsuguda","Orissa"
"OR24","Nabarangpur","Orissa"
"OR25","Nayagarh","Orissa"
"OR26","Nuapada","Orissa"
"OR27","Boudh","Orissa"
"OR28","Debagarh","Orissa"
"OR29","Kendarapara","Orissa"
"OR30","Malkangiri","Orissa"
"OR31","Sonepur","Orissa"
"PB01","Taxis","Punjab"
"PB02","Amritsar","Punjab"
"PB03","Bathinda","Punjab"
"PB04","Faridkot","Punjab"
"PB05","Ferozepur","Punjab"
"PB06","Gurdaspur","Punjab"
"PB07","Hoshiarpur","Punjab"
"PB08","Jalandhar","Punjab"
"PB09","Kapurthala","Punjab"
"PB10","Ludhiana","Punjab"
"PB11","Patiala","Punjab"
"PB12","Ropar","Punjab"
"PB13","Sangrur","Punjab"
"PB14","Ajnala","Punjab"
"PB15","Abohar","Punjab"
"PB16","Anandpur Sahib","Punjab"
"PB17","Baba Bakala","Punjab"
"PB18","Batala","Punjab"
"PB19","Barnala","Punjab"
"PB20","Balachaur","Punjab"
"PB21","Dasua","Punjab"
"PB22","Fazilka","Punjab"
"PB23","Fatehgarh Sahib","Punjab"
"PB24","Garhshankar","Punjab"
"PB25","Jagraon","Punjab"
"PB26","Khanna","Punjab"
"PB27","Kharar","Punjab"
"PB28","Malerkotla","Punjab"
"PB29","Moga","Punjab"
"PB30","Muktsar","Punjab"
"PB31","Mansa","Punjab"
"PB32","Nawanshahr","Punjab"
"PB33","Nakodar","Punjab"
"PB34","Nabha","Punjab"
"PB35","Pathankot","Punjab"
"PB36","Phagwara","Punjab"
"PB37","Phillaur","Punjab"
"PB38","Patti","Punjab"
"PB39","Rajpura","Punjab"
"PB40","Rampura Phul","Punjab"
"PB41","Sultanpur Lodhi","Punjab"
"PB42","Samana","Punjab"
"PB43","Samrala","Punjab"
"PB44","Sunam","Punjab"
"PB45","Talwandi Sabo","Punjab"
"PB46","Tarn Taran","Punjab"
"PB47","Zira","Punjab"
"PB48","Amloh","Punjab"
"PB49","Khamano","Punjab"
"PB50","Budhlada","Punjab"
"PB51","Jhunir / Sardulgarh","Punjab"
"PB52","Bassi Pathana","Punjab"
"PB53","Malout","Punjab"
"PB54","Mukerian","Punjab"
"PB55","Payal","Punjab"
"PB56","Raikot","Punjab"
"PB57","Bhulath","Punjab"
"PB58","Dera Baba Nanak","Punjab"
"PB59","Dhuri","Punjab"
"PB60","Gidderbaha","Punjab"
"PB61","Jalalabad","Punjab"
"PB62","Jaitu","Punjab"
"PB63","Khadoor Sahib","Punjab"
"PB64","Moonak","Punjab"
"PB65","Mohali","Punjab"
"PB66","Nihal Singh Wala","Punjab"
"PB67","Shahkot","Punjab"
"PB68","Dhar","Punjab"
"PB69","Bagha Purana","Punjab"
"PB70","Dera Bassi","Punjab"
"PB71","Chamkaur Sahib","Punjab"
"PB72","Patran","Punjab"
"PB73","Tappa Mandi","Punjab"
"PB74","Nangal","Punjab"
"PB75","Lehra","Punjab"
"PY01","Pondicherry","Pondicherry"
"PY02","Karaikal","Pondicherry"
"PY03","Mahe","Pondicherry"
"PY04","Yanam","Pondicherry"
"RJ01","Ajmer","Rajasthan"
"RJ02","Alwar","Rajasthan"
"RJ03","Banswara","Rajasthan"
"RJ04","Barmer","Rajasthan"
"RJ05","Bharatpur","Rajasthan"
"RJ06","Bhilwara","Rajasthan"
"RJ07","Bikaner","Rajasthan"
"RJ08","Bundi","Rajasthan"
"RJ09","Chittaurgarh","Rajasthan"
"RJ10","Churu","Rajasthan"
"RJ11","Dholpur","Rajasthan"
"RJ12","Dungarpur","Rajasthan"
"RJ13","Sri Ganganagar","Rajasthan"
"RJ14","Jaipur","Rajasthan"
"RJ15","Jaisalmer","Rajasthan"
"RJ16","Jalore","Rajasthan"
"RJ17","Jhalawar","Rajasthan"
"RJ18","Jhunjhunu","Rajasthan"
"RJ19","Jodhpur","Rajasthan"
"RJ20","Kota","Rajasthan"
"RJ21","Nagaur","Rajasthan"
"RJ22","Pali","Rajasthan"
"RJ23","Sikar","Rajasthan"
"RJ24","Sirohi","Rajasthan"
"RJ25","Sawai Madhopur","Rajasthan"
"RJ26","Tonk","Rajasthan"
"RJ27","Udaipur","Rajasthan"
"RJ28","Baran","Rajasthan"
"RJ29","Dausa","Rajasthan"
"RJ30","Rajsamand","Rajasthan"
"RJ31","Hanumangarh","Rajasthan"
"RJ32","Kotputli","Rajasthan"
"RJ33","Ramganj Mandi","Rajasthan"
"RJ34","Karauli","Rajasthan"
"RJ35","Pratapgarh","Rajasthan"
"RJ36","Beawar","Rajasthan"
"RJ37","Didwana","Rajasthan"
"RJ38","Rawhhuu","Rajasthan"
"SK01","Gangtok, East Sikkim","Sikkim"
"SK02","Gyalshing, West Sikkim","Sikkim"
"SK03","Mangan, North Sikkim","Sikkim"
"SK04","Jorethang, South Sikkim","Sikkim"
"TN01","Chennai Central (Ayanavaram)","Tamil Nadu"
"TN02","Chennai West (Anna Nagar)","Tamil Nadu"
"TN03","Chennai North East (Tondiarpet)","Tamil Nadu"
"TN04","Chennai East (Basin Bridge)","Tamil Nadu"
"TN05","Chennai North (Vyasarpadi)","Tamil Nadu"
"TN06","Chennai South East (Mandaveli)","Tamil Nadu"
"TN07","Chennai South (Thiruvanmiyur)","Tamil Nadu"
"TN09","Chennai West (K.K. Nagar)","Tamil Nadu"
"TN10","Chennai South West (Valasarawakkam)","Tamil Nadu"
"TN11","Tambaram","Tamil Nadu"
"TN16","Tindivanam","Tamil Nadu"
"TN18","Sengundram","Tamil Nadu"
"TN19","Chengalpattu","Tamil Nadu"
"TN20","Tiruvallur","Tamil Nadu"
"TN21","Kanchipuram","Tamil Nadu"
"TN22","Meenambakkam","Tamil Nadu"
"TN23","Vellore","Tamil Nadu"
"TN24","Krishnagiri","Tamil Nadu"
"TN25","Thiruvannamalai","Tamil Nadu"
"TN28","Namakkal","Tamil Nadu"
"TN29","Dharmapuri","Tamil Nadu"
"TN30","Salem (West)","Tamil Nadu"
"TN31","Cuddalore","Tamil Nadu"
"TN32","Villupuram","Tamil Nadu"
"TN33","Erode","Tamil Nadu"
"TN34","Thiruchengode","Tamil Nadu"
"TN36","Gobichettipalayam","Tamil Nadu"
"TN37","Coimbatore (South)","Tamil Nadu"
"TN38","Coimbatore (North)","Tamil Nadu"
"TN39","Tirupur (North)","Tamil Nadu"
"TN40","Mettupalayam","Tamil Nadu"
"TN41","Pollachi","Tamil Nadu"
"TN42","Tirupur (South)","Tamil Nadu"
"TN43","Uthagamandalam","Tamil Nadu"
"TN45","Tiruchirapalli","Tamil Nadu"
"TN46","Perambalur","Tamil Nadu"
"TN47","Karur","Tamil Nadu"
"TN48","Srirangam (Tiruchirapalli)","Tamil Nadu"
"TN49","Thanjavur","Tamil Nadu"
"TN50","Tiruvarur","Tamil Nadu"
"TN51","Nagapattinam","Tamil Nadu"
"TN52","Sankagiri","Tamil Nadu"
"TN54","Salem (East)","Tamil Nadu"
"TN55","Pudukottai","Tamil Nadu"
"TN56","Perundurai","Tamil Nadu"
"TN57","Dindigul","Tamil Nadu"
"TN58","Madurai (South)","Tamil Nadu"
"TN59","Madurai (North)","Tamil Nadu"
"TN60","Theni","Tamil Nadu"
"TN61","Ariyalur","Tamil Nadu"
"TN63","Sivagangai","Tamil Nadu"
"TN64","Madurai (Central)","Tamil Nadu"
"TN65","Ramanathapuram","Tamil Nadu"
"TN66","Coimbatore (Central)","Tamil Nadu"
"TN67","Virudhunagar","Tamil Nadu"
"TN68","Kumbakonam","Tamil Nadu"
"TN69","Tuticorin","Tamil Nadu"
"TN70","Hosur","Tamil Nadu"
"TN72","Tirunelveli","Tamil Nadu"
"TN73","Ranipet","Tamil Nadu"
"TN74","Nagercoil","Tamil Nadu"
"TN75","Marthandam","Tamil Nadu"
"TN76","Tenkasi","Tamil Nadu"
"TN77","Attur","Tamil Nadu"
"TN78","Dharapuram","Tamil Nadu"
"TN/N, TN/AN","State Transport Undertakings","Tamil Nadu"
"TN/G, TN/AG","State Government Vehicles","Tamil Nadu"
"TR01","Agartala","Tripura"
"TR02","Kailashahar","Tripura"
"TR03","Udaipura","Tripura"
"UK01","Almora","Uttarakhand"
"UK02","Bageshwar","Uttarakhand"
"UK03","Champawat","Uttarakhand"
"UK04","Nanital","Uttarakhand"
"UK05","Pithoragarh","Uttarakhand"
"UK06","Udham Singh Nagar","Uttarakhand"
"UA07","Dehra Dun (UK07TC for taxis)","Uttarakhand"
"UK08","Haridwar","Uttarakhand"
"UK09","Tehri","Uttarakhand"
"UK10","Uttarkashi","Uttarakhand"
"UK11","Chamoli","Uttarakhand"
"UK12","Pauri","Uttarakhand"
"UK13","Rudraprayag","Uttarakhand"
"UP01","Almora (not longer in use)","Uttar Pradesh"
"UP02","Haldwani (not longer in useï¿½?)","Uttar Pradesh"
"UP03","Pithoragarh (not longer in use)","Uttar Pradesh"
"UP04","Udham Singh Nagar (not longer in use)","Uttar Pradesh"
"UP05","Chamoli (not longer in use)","Uttar Pradesh"
"UP06","Pauri (not longer in use)","Uttar Pradesh"
"UP07","Dehradun (not longer in use)","Uttar Pradesh"
"UP08","Tehri (not longer in use)","Uttar Pradesh"
"UP09","Uttarkashi (not longer in use)","Uttar Pradesh"
"UP10","Haridwar (not longer in use)","Uttar Pradesh"
"UP11","Saharanpur","Uttar Pradesh"
"UP12","Muzaffarnagar","Uttar Pradesh"
"UP13","Bulandshahr","Uttar Pradesh"
"UP14","Ghaziabad","Uttar Pradesh"
"UP15","Meerut (UP15AT for taxis, UP15AG for government vehicles","Uttar Pradesh"
"UP16","NOIDA / Gautam Buddha Nagar","Uttar Pradesh"
"UP17","Baghpat","Uttar Pradesh"
"UP18","Prabudh Nagar","Uttar Pradesh"
"UP20","Bijnor","Uttar Pradesh"
"UP21","Moradabad","Uttar Pradesh"
"UP22","Rampur","Uttar Pradesh"
"UP23","Jyotiba Phule Nagar","Uttar Pradesh"
"UP24","Badaun","Uttar Pradesh"
"UP25","Bareilly","Uttar Pradesh"
"UP26","Pilibhit","Uttar Pradesh"
"UP27","Shahjahanpur","Uttar Pradesh"
"UP28","Ayodhya","Uttar Pradesh"
"UP29","to be alloted","Uttar Pradesh"
"UP30","Hardoi","Uttar Pradesh"
"UP31","Kheri","Uttar Pradesh"
"UP32","Lucknow","Uttar Pradesh"
"UP33","Raebareli","Uttar Pradesh"
"UP33T, AT, BT, CT & so on","Raebareli for commercial vehicles","Uttar Pradesh"
"UP33G, AG, BG, CG & so on","Raebareli for government vehicles","Uttar Pradesh"
"UP34","Sitapur","Uttar Pradesh"
"UP35","Unnao","Uttar Pradesh"
"UP35B, H, T","Unnao for commercial vehicles","Uttar Pradesh"
"UP36","Lucknow (when UP32 will be exhausted)","Uttar Pradesh"
"UP37","Hapur","Uttar Pradesh"
"UP40","Bahraich","Uttar Pradesh"
"UP41","Barabanki","Uttar Pradesh"
"UP42","Faizabad","Uttar Pradesh"
"UP43","Gonda","Uttar Pradesh"
"UP44","Sultanpur","Uttar Pradesh"
"UP45","Ambedkar Nagar","Uttar Pradesh"
"UP46","Shrawasti","Uttar Pradesh"
"UP47","Balrampur","Uttar Pradesh"
"UP50","Azamgarh","Uttar Pradesh"
"UP50T, AT, BT,& so on","Azamgarh for commercial vehicles","Uttar Pradesh"
"UP50, AG,BG & so on","Azamgarh for government vehicles","Uttar Pradesh"
"UP51","Basti","Uttar Pradesh"
"UP52","Deoria","Uttar Pradesh"
"UP53","Gorakhpur for private vehicles","Uttar Pradesh"
"UP53T, AT, BT, CT & so on","Gorakhpur for commercial vehicles","Uttar Pradesh"
"UP53AG","Gorakhpur for government vehicles","Uttar Pradesh"
"UP54","Mau","Uttar Pradesh"
"UP55","Siddharth Nagar","Uttar Pradesh"
"UP56","Mahrajganj","Uttar Pradesh"
"UP57","Padrauna","Uttar Pradesh"
"UP58","Sant Kabir Nagar","Uttar Pradesh"
"UP59","to be alloted","Uttar Pradesh"
"UP60","Ballia","Uttar Pradesh"
"UP61","Ghazipur","Uttar Pradesh"
"UP62","Jaunpur","Uttar Pradesh"
"UP62T","Jaunpur for taxis, private vehicle","Uttar Pradesh"
"UP63","Mirzapur","Uttar Pradesh"
"UP64","Sonbhadra","Uttar Pradesh"
"UP65","Varanasi","Uttar Pradesh"
"UP66","Bhadohi","Uttar Pradesh"
"UP67","Chandauli","Uttar Pradesh"
"UP68","to be alloted","Uttar Pradesh"
"UP69","to be alloted","Uttar Pradesh"
"UP70","Allahabad","Uttar Pradesh"
"UP71","Fatehpur","Uttar Pradesh"
"UP72","Pratapgarh","Uttar Pradesh"
"UP73","Kaushambi","Uttar Pradesh"
"UP74","Kannauj","Uttar Pradesh"
"UP75","Etawah","Uttar Pradesh"
"UP75G","Etawah for government vehicles","Uttar Pradesh"
"UP76","Farrukhabad","Uttar Pradesh"
"UP77","Kanpur Dehat (rural)","Uttar Pradesh"
"UP78","Kanpur  Urban","Uttar Pradesh"
"UP78G, AG, BG, CG & so on","Kanpur Government Vehicles","Uttar Pradesh"
"UP78AN, BN, CN & so on","Kanpur CNG Vehicles","Uttar Pradesh"
"UP78AT, BT, CT & so on","Kanpur CNG Vehicles","Uttar Pradesh"
"UP79","Auraiya","Uttar Pradesh"
"UP80","Agra","Uttar Pradesh"
"UP81","Aligarh","Uttar Pradesh"
"UP82","Etah","Uttar Pradesh"
"UP83","Firozabad","Uttar Pradesh"
"UP84","Mainpuri","Uttar Pradesh"
"UP85","Mathura","Uttar Pradesh"
"UP86","Mahamaya Nagar","Uttar Pradesh"
"UP87","Kanshiram Nagar","Uttar Pradesh"
"UP88","to be alloted","Uttar Pradesh"
"UP89","to be alloted","Uttar Pradesh"
"UP90","Banda","Uttar Pradesh"
"UP91","Hamirpur","Uttar Pradesh"
"UP92","Jalaun","Uttar Pradesh"
"UP93","Jhansi","Uttar Pradesh"
"UP93E","Jhansi for public transport","Uttar Pradesh"
"UP93AG","Jhansi for government vehicles","Uttar Pradesh"
"UP94","Lalitpur","Uttar Pradesh"
"UP95","Mahoba","Uttar Pradesh"
"UP95B","Mahoba for commercial vehicles","Uttar Pradesh"
"UP95G","Mahoba for government vehicles","Uttar Pradesh"
"UP96","Chitrakoot Dham (Karwi)","Uttar Pradesh"
"WB01","Kolkata (twowheelers)  exhausted","West Bengal"
"WB02","Kolkata (private fourwheelers)","West Bengal"
"WB03","Kolkata (goods carriages)","West Bengal"
"WB04","Kolkata (passenger vehicles)","West Bengal"
"WB05","Kolkata (tractors, trailers, cranes)","West Bengal"
"WB06","Kolkata (private fourwheelers)","West Bengal"
"WB07","Kolkata (twowheelers)","West Bengal"
"WB08","Kolkata  to be used","West Bengal"
"WB09","Kolkata  to be used","West Bengal"
"WB10","Kolkata  to be used","West Bengal"
"WB11","Howrah (transport vehicles)","West Bengal"
"WB12","Howrah (other than transport vehicles),","West Bengal"
"WB13","Howrah  to be used","West Bengal"
"WB14","Howrah (other than transport vehicles)  till WB14 K","West Bengal"
"WB15","Hooghly (transport vehicles)","West Bengal"
"WB16","Hooghly (other than transport vehicles)  exhausted","West Bengal"
"WB18","Hooghly (other than transport vehicles)","West Bengal"
"WB19","South 24 Parganas, Alipore (transport vehicles)","West Bengal"
"WB20","South 24 Parganas, Alipore (other than transport vehicles)  exhausted for twowheelers","West Bengal"
"WB22","South 24 Parganas, Alipore (other than transport vehicles)","West Bengal"
"WB23","Barrackpore (transport vehicles)","West Bengal"
"WB24","Barrackpore (other than transport vehicles)","West Bengal"
"WB25","Barasat (transport vehicles)","West Bengal"
"WB26","Barasat (other than transport vehicles)","West Bengal"
"WB29","Tamluk (transport vehicles)","West Bengal"
"WB30","Tamluk (other than transport vehicles)","West Bengal"
"WB31","Contai (transport vehicles)","West Bengal"
"WB32","Contai (other than transport vehicles)","West Bengal"
"WB33","Midnapur (transport vehicles)","West Bengal"
"WB34","Midnapur (other than transport vehicles)","West Bengal"
"WB37","Asansol (transport vehicles)","West Bengal"
"WB38","Asansol (other than transport vehicles)","West Bengal"
"WB39","Durgapur (transport vehicles)","West Bengal"
"WB40","Durgapur (other than transport vehicles)","West Bengal"
"WB41","Burdwan (transport vehicles)","West Bengal"
"WB42","Burdwan (other than transport vehicles)","West Bengal"
"WB44","Asansol (other than transport vehicles)","West Bengal"
"WB51","Nadia (transport vehicles)","West Bengal"
"WB52","Nadia (other than transport vehicles)","West Bengal"
"WB53","Birbhum (transport vehicles)","West Bengal"
"WB54","Birbhum (other than transport vehicles)","West Bengal"
"WB55","Purulia (transport vehicles)","West Bengal"
"WB56","Purulia (other than transport vehicles)","West Bengal"
"WB57","Murshidabad (transport vehicles)","West Bengal"
"WB58","Murshidabad (other than transport vehicles)","West Bengal"
"WB59","Raiganj (transport vehicles)","West Bengal"
"WB60","Raiganj (other than transport vehicles)","West Bengal"
"WB61","Balurghat (transport vehicles)","West Bengal"
"WB62","Balurghat (other than transport vehicles)","West Bengal"
"WB63","Cooch Behar (transport vehicles)","West Bengal"
"WB64","Cooch Behar (other than transport vehicles)","West Bengal"
"WB65","Malda (transport vehicles)","West Bengal"
"WB66","Malda (other than transport vehicles)","West Bengal"
"WB67","Bankura (transport vehicles)","West Bengal"
"WB68","Bankura (other than transport vehicles)","West Bengal"
"WB69","Alipurduar (transport vehicles)","West Bengal"
"WB70","Alipurduar (other than transport vehicles)","West Bengal"
"WB71","Jalpaiguri (transport vehicles)","West Bengal"
"WB72","Jalpaiguri (other than transport vehicles)","West Bengal"
"WB73","Siliguri (transport vehicles)","West Bengal"
"WB74","Siliguri (other than transport vehicles)","West Bengal"
"WB76","Darjeeling (transport vehicles)","West Bengal"
"WB77","Darjeeling (other than transport vehicles)","West Bengal"
"WB78","Kalimpong (transport vehicles)","West Bengal"
"WB79","Kalimpong (other than transport vehicles)","West Bengal"
